country,pct_sales_returned,pct_value_returned
Nicaragua,0.212962962962,0.21179128180131432
Oman,0.212962962962,0.15195254761361243
Montenegro,0.190277777777,0.21973417846937762
Puerto Rico,0.184139784946,0.15605512400495494
Poland,0.182870370370,0.1416946334543681
Paraguay,0.178497942386,0.17183279571242158
Philippines,0.177015755329,0.15597966717691733
New Zealand,0.171455938697,0.16719107551492732
Qatar,0.171348314606,0.13725544107967674
Portugal,0.170781893004,0.15266371014340657
Republic of Korea,0.170698924731,0.1386451845251341
Turkmenistan,0.170498084291,0.1755562065563355
Norway,0.168055555555,0.14648826008177862
Ukraine,0.161706349206,0.15800120178596974
Slovakia,0.157828282828,0.13235868024179404
Panama,0.157777777777,0.161759685174265
Saint Kitts and Nevis,0.157407407407,0.11034302063778338
Switzerland,0.156746031746,0.1838030632666294
Serbia,0.156635802469,0.18601890985154315
Dominica,0.152777777777,0.41682638534275407
South Africa,0.152777777777,0.11065572592410283
Saint Lucia,0.152281746031,0.15103533388885867
Netherlands,0.152268760907,0.15423967382326148
Mexico,0.151881720430,0.1585345599836336
Mauritius,0.150959860383,0.16927232672302803
United Arab Emirates,0.150462962962,0.2207978693272318
Mongolia,0.150000000000,0.21720911162519385
Thailand,0.149700598802,0.14140295636411362
Trinidad and Tobago,0.149691358024,0.166058966984402
Uruguay,0.149305555555,0.15546877980131008
Seychelles,0.148919753086,0.15288077020941138
Saint Vincent and Grenadines,0.147222222222,0.1578306134398837
United Kingdom,0.146887595163,0.16909418208500715
Sweden,0.146648044692,0.159694984331105
Albania,0.144480519480,0.17508950794223882
San Marino,0.143518518518,0.08445700058144673
Singapore,0.143369175627,0.14644639878451488
Latvia,0.142951687624,0.17880813190249115
Suriname,0.142857142857,0.12274140160575248
United States,0.141640519946,0.13763357599841128
Guyana,0.140633685380,0.20442932048887963
Armenia,0.139980824544,0.16414319749023445
Spain,0.138440860215,0.11356458673045527
Romania,0.138223552894,0.13853069420367586
Belize,0.136479591836,0.16056040871036592
Bahrain,0.136054421768,0.13987344599350557
Kuwait,0.136035535813,0.1525867712832713
Belarus,0.135564378899,0.14206112724429593
Slovenia,0.135009927200,0.09834957001717466
Barbados,0.134826107670,0.13714564874899382
Brazil,0.134792626728,0.16863282966199297
Bahamas,0.134505949301,0.1442156490858075
Argentina,0.133307721859,0.1619016520445564
Uzbekistan,0.132575757575,0.16599578790261404
Guatemala,0.131944444444,0.17122064074310195
Russia,0.131147540983,0.1410352114251003
Turkey,0.130952380952,0.10766988675118998
Luxembourg,0.130824372759,0.15466121778979863
Antigua and Barbuda,0.130511463844,0.1671689258731355
Aruba,0.129251700680,0.14296296034653322
Australia,0.127777777777,0.1342574598171063
Sri Lanka,0.127525252525,0.09093712300080514
Hungary,0.126881720430,0.20215967647807814
Azerbaijan,0.126488095238,0.1253355526735021
Maldives,0.126388888888,0.2182148399008438
Belgium,0.124807987711,0.15217351915917593
Greece,0.124551971326,0.1855260940375158
Austria,0.124158563949,0.13609233836509788
Kyrgyzstan,0.119123931623,0.14385089069668963
Grenada,0.117741935483,0.1613112295238262
Lithuania,0.117684478371,0.12114375200106973
Malta,0.116039426523,0.14876467468035276
Kazakhstan,0.113247863247,0.15420071849191674
France,0.112500000000,0.17091972743941955
Bulgaria,0.111507936507,0.11576664685882165
Kiribati,0.111111111111,0.11578842082363633
Italy,0.107974910394,0.1778600216336717
Chile,0.107910906298,0.15475739181808754
Iceland,0.106893542757,0.1806826406781312
Ireland,0.104629629629,0.18280738764487423
Canada,0.104269293924,0.1387213302940069
Israel,0.102598566308,0.16731406262902562
Japan,0.102552619793,0.13061369704727427
Jamaica,0.102124183006,0.12022248900311977
Ecuador,0.101702508960,0.16961774067380567
Fiji,0.101010101010,0.2251059913195575
Germany,0.100961538461,0.17240300683900145
Georgia,0.099116161616,0.16199832378698306
El Salvador,0.097800925925,0.14052520722058312
Finland,0.092432950191,0.1324679650215768
Denmark,0.090277777777,0.15125981369188934
Cyprus,0.087160262417,0.21447017097491272
Cabo Verde,0.083333333333,0.05222501547110911
Macau,0.083333333333,0.006688836585370617
Czech Republic,0.079710144927,0.14147895987458847
Estonia,0.079365079365,0.14613527529276482
Colombia,0.076372315035,0.10003799685188139
Bosnia and Herzegovina,0.071428571428,0.1408350620740452
Cuba,0.068287037037,0.12362082615583489
Croatia,0.064885496183,0.11295491091368834
Costa Rica,0.063859324386,0.12113145636301079
